run,num_dims,num_mix_elems,w2_mix,w2_whole_grid,w2_old,time_mix,time_whole,time_old,best_eps,nr_locs_mix,nr_locs_whole,nr_locs_old
34,5,45,1.4398075342178345,5.431368350982666,tensor(1.6012),5.152146100997925,0.11151790618896484,0.13246798515319824,6.708203932499369,97,32,45
35,2,30,0.29094064235687256,0.42558830976486206,tensor(1.0095),1.5919458866119385,0.03473711013793945,0.04444384574890137,5.656854249492381,100,100,30
36,4,30,1.0461808443069458,1.8871756792068481,tensor(1.4156),2.469336986541748,0.06203603744506836,0.07533907890319824,6.0,97,81,30
37,2,45,0.2449459433555603,0.3354639410972595,tensor(1.0009),2.835062026977539,0.051969051361083984,0.07146334648132324,7.0710678118654755,101,100,45
38,8,43,2.28501033782959,8.475790023803711,tensor(2.0739),6.931978940963745,0.16184425354003906,0.1835160255432129,5.656854249492381,97,1,43
39,5,32,1.402091383934021,4.327843189239502,tensor(1.6170),3.1675307750701904,0.07660293579101562,0.09546279907226562,6.708203932499369,97,32,32
40,2,35,0.2590685188770294,0.36582469940185547,tensor(0.9777),1.9230320453643799,0.0417180061340332,0.05518817901611328,5.656854249492381,100,100,35
41,2,5,0.2620733380317688,0.3068873882293701,tensor(0.3136),0.21762704849243164,0.0058498382568359375,0.007842063903808594,5.656854249492381,100,100,98
42,7,33,2.030393600463867,8.42623233795166,tensor(1.9232),4.232764959335327,0.11064887046813965,0.12438607215881348,5.291502622129181,97,1,33
43,9,20,2.546898126602173,8.437040328979492,tensor(1.7492),2.9664671421051025,0.08049511909484863,0.09867024421691895,6.0,97,1,80
44,3,48,0.6341903209686279,1.1246005296707153,tensor(1.2267),4.043195009231567,0.07860398292541504,0.09336304664611816,8.660254037844386,101,64,48
45,8,26,2.2799689769744873,8.372770309448242,tensor(1.9918),3.553844928741455,0.09708213806152344,0.11110973358154297,5.656854249492381,97,1,26
46,7,7,2.097825765609741,7.194224834442139,tensor(1.4090),0.7809069156646729,0.022769927978515625,0.026832103729248047,5.291502622129181,97,1,57
47,2,15,0.2568517327308655,0.3274463713169098,tensor(0.5560),0.6844737529754639,0.018337011337280273,0.02421283721923828,5.656854249492381,100,100,66
48,7,24,2.117879867553711,9.31643295288086,tensor(1.8730),2.944592237472534,0.07647085189819336,0.09439206123352051,5.291502622129181,97,1,24
49,3,33,0.6422207355499268,1.1064010858535767,tensor(1.1420),2.2783432006835938,0.05227303504943848,0.06807184219360352,5.196152422706632,101,64,33
50,2,47,0.2640897333621979,0.3565293252468109,tensor(0.9633),3.0102038383483887,0.05496668815612793,0.07486414909362793,5.656854249492381,101,100,47
51,9,48,2.4237847328186035,9.647974967956543,tensor(2.1532),8.484412908554077,0.19817709922790527,0.22675204277038574,6.0,97,1,48
